Indicator Parent,Indicator Breakdown,Secondary Breakdown Name,Secondary Breakdown,Location,Value
Country of Birth,Yes,Gender lived,CisM,Semi-urban sites in the province of Quebec,97
Country of Birth,Yes,Gender lived,TFEM,Semi-urban sites in the province of Quebec,100
Country of Birth,Yes,Gender lived,TMAS,Semi-urban sites in the province of Quebec,100
Country of Birth,Yes,Gender lived,CisF,New Brunswick,94.3
Country of Birth,Yes,Gender lived,CisM,New Brunswick,97.6
Country of Birth,Yes,Gender lived,TFEM,New Brunswick,100
Sexual Orientation,1008_b Gay or lesbian,None,None,Canada,2.8
Sexual Orientation,1008_b Gay or lesbian,Age group,Less than 25 years,Canada,3.7
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,Canada,2.9
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,Canada,2.5
Sexual Orientation,1008_b Gay or lesbian,Age group,55 years or more,Canada,2.7
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,Canada,2.7
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,Canada,2.3
Sexual Orientation,1008_b Gay or lesbian,Gender lived,TFEM,Canada,29.2
Sexual Orientation,1008_b Gay or lesbian,Gender lived,TMAS,Canada,11.8
Sexual Orientation,1008_b Gay or lesbian,None,None,"Whitehorse, YK",4.1
Sexual Orientation,1008_b Gay or lesbian,None,None,"Central and Northern Vancouver Island, BC",0.6
Sexual Orientation,1008_b Gay or lesbian,None,None,"Prince Albert, SK",1.7
Sexual Orientation,1008_b Gay or lesbian,None,None,"Regina, SK",1.5
Sexual Orientation,1008_b Gay or lesbian,None,None,"Winnipeg, MN",5.1
Sexual Orientation,1008_b Gay or lesbian,None,None,"Thunder Bay, ON",1.5
Sexual Orientation,1008_b Gay or lesbian,None,None,"London, ON",1.5
Sexual Orientation,1008_b Gay or lesbian,None,None,"Hamilton, ON",1.9
Sexual Orientation,1008_b Gay or lesbian,None,None,"Ottawa, ON and the region of Outaouais, QC",1
Sexual Orientation,1008_b Gay or lesbian,None,None,"Montréal and the urban sites in the region of Montérégie, QC",6
Sexual Orientation,1008_b Gay or lesbian,None,None,"Québec City, QC",4.8
Sexual Orientation,1008_b Gay or lesbian,None,None,Semi-urban sites in the province of Quebec,6
Sexual Orientation,1008_b Gay or lesbian,None,None,New Brunswick,2.5
Sexual Orientation,1008_b Gay or lesbian,None,None,Newfoundland,3.1
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,"Whitehorse, YK",7.1
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",1.1
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,"Prince Albert, SK",2
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,"Prince Albert, SK",1.5
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,"Regina, SK",2.5
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,"Regina, SK",1.1
Sexual Orientation,1008_b Gay or lesbian,Age group,Less than 25 years,"Winnipeg, MN",5.3
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,"Winnipeg, MN",3.8
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,"Winnipeg, MN",8.3
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,"Thunder Bay, ON",2.8
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,"London, ON",3.7
Sexual Orientation,1008_b Gay or lesbian,Age group,55 years or more,"Hamilton, ON",8.6
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",1.6
Sexual Orientation,1008_b Gay or lesbian,Age group,55 years or more,"Ottawa, ON and the region of Outaouais, QC",2.5
Sexual Orientation,1008_b Gay or lesbian,Age group,Less than 25 years,"Montréal and the urban sites in the region of Montérégie, QC",10
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",6
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,"Montréal and the urban sites in the region of Montérégie, QC",5.4
Sexual Orientation,1008_b Gay or lesbian,Age group,55 years or more,"Montréal and the urban sites in the region of Montérégie, QC",7.1
Sexual Orientation,1008_b Gay or lesbian,Age group,Less than 25 years,"Québec City, QC",30
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,"Québec City, QC",1.8
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,"Québec City, QC",4.1
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,Semi-urban sites in the province of Quebec,8.7
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,4.2
Sexual Orientation,1008_b Gay or lesbian,Age group,55 years or more,Semi-urban sites in the province of Quebec,4.5
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,New Brunswick,3.1
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,New Brunswick,1.3
Sexual Orientation,1008_b Gay or lesbian,Age group,55 years or more,New Brunswick,5.6
Sexual Orientation,1008_b Gay or lesbian,Age group,Less than 25 years,Newfoundland,3.8
Sexual Orientation,1008_b Gay or lesbian,Age group,25 to 39 years,Newfoundland,3.2
Sexual Orientation,1008_b Gay or lesbian,Age group,40 to 54 years,Newfoundland,3.3
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,"Whitehorse, YK",8
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,"Central and Northern Vancouver Island, BC",1.7
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,"Prince Albert, SK",1.1
Sexual Orientation,1008_b Gay or lesbian,Gender lived,TFEM,"Prince Albert, SK",100
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,"Regina, SK",2.6
Sexual Orientation,1008_b Gay or lesbian,Gender lived,TFEM,"Regina, SK",33.3
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,"Winnipeg, MN",4.1
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,"Winnipeg, MN",4.2
Sexual Orientation,1008_b Gay or lesbian,Gender lived,TFEM,"Winnipeg, MN",50
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,"Thunder Bay, ON",2.4
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,"Thunder Bay, ON",0.8
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,"London, ON",4.8
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,"London, ON",0.6
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,"Hamilton, ON",1.9
Sexual Orientation,1008_b Gay or lesbian,Gender lived,TMAS,"Hamilton, ON",50
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",1.6
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",7.3
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,"Québec City, QC",2.5
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,"Québec City, QC",3.7
Sexual Orientation,1008_b Gay or lesbian,Gender lived,TFEM,"Québec City, QC",100
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,Semi-urban sites in the province of Quebec,9.1
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,Semi-urban sites in the province of Quebec,4.5
Sexual Orientation,1008_b Gay or lesbian,Gender lived,TMAS,Semi-urban sites in the province of Quebec,100
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisF,New Brunswick,4.3
Sexual Orientation,1008_b Gay or lesbian,Gender lived,CisM,New Brunswick,1.6
Sexual Orientation,1008_c Bisexual,None,None,Canada,8.9
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,Canada,16.8
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,Canada,10.8
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,Canada,6.3
Sexual Orientation,1008_c Bisexual,Age group,55 years or more,Canada,4.6
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,Canada,16.6
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,Canada,4.4
Sexual Orientation,1008_c Bisexual,Gender lived,TFEM,Canada,20.8
Sexual Orientation,1008_c Bisexual,Gender lived,TMAS,Canada,47.1
Sexual Orientation,1008_c Bisexual,None,None,"Whitehorse, YK",6.1
Sexual Orientation,1008_c Bisexual,None,None,"Central and Northern Vancouver Island, BC",7.3
Sexual Orientation,1008_c Bisexual,None,None,"Prince Albert, SK",6.7
Sexual Orientation,1008_c Bisexual,None,None,"Regina, SK",6.3
Sexual Orientation,1008_c Bisexual,None,None,"Winnipeg, MN",15.2
Sexual Orientation,1008_c Bisexual,None,None,"Thunder Bay, ON",6.5
Sexual Orientation,1008_c Bisexual,None,None,"London, ON",6.3
Sexual Orientation,1008_c Bisexual,None,None,"Hamilton, ON",8.3
Sexual Orientation,1008_c Bisexual,None,None,"Ottawa, ON and the region of Outaouais, QC",12.1
Sexual Orientation,1008_c Bisexual,None,None,"Montréal and the urban sites in the region of Montérégie, QC",8.5
Sexual Orientation,1008_c Bisexual,None,None,"Québec City, QC",10.5
Sexual Orientation,1008_c Bisexual,None,None,Semi-urban sites in the province of Quebec,11.4
Sexual Orientation,1008_c Bisexual,None,None,New Brunswick,9
Sexual Orientation,1008_c Bisexual,None,None,Newfoundland,9.3
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Whitehorse, YK",10.7
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",4.5
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",9.8
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",6.5
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Prince Albert, SK",10
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"Prince Albert, SK",2.9
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,"Regina, SK",33.3
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Regina, SK",10.1
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"Regina, SK",2.1
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,"Winnipeg, MN",31.6
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Winnipeg, MN",16.7
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"Winnipeg, MN",10
Sexual Orientation,1008_c Bisexual,Age group,55 years or more,"Winnipeg, MN",5
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,"Thunder Bay, ON",14.3
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Thunder Bay, ON",6.5
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"Thunder Bay, ON",5.3
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,"London, ON",8.3
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"London, ON",5.7
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"London, ON",8.5
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,"Hamilton, ON",25
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Hamilton, ON",9.4
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"Hamilton, ON",7.8
Sexual Orientation,1008_c Bisexual,Age group,55 years or more,"Hamilton, ON",5.7
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,"Ottawa, ON and the region of Outaouais, QC",28.6
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",14.3
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"Ottawa, ON and the region of Outaouais, QC",9.1
Sexual Orientation,1008_c Bisexual,Age group,55 years or more,"Ottawa, ON and the region of Outaouais, QC",12.5
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,"Montréal and the urban sites in the region of Montérégie, QC",10
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",13.3
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"Montréal and the urban sites in the region of Montérégie, QC",5.4
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,"Québec City, QC",30
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,"Québec City, QC",9.1
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,"Québec City, QC",8.2
Sexual Orientation,1008_c Bisexual,Age group,55 years or more,"Québec City, QC",10
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,Semi-urban sites in the province of Quebec,17.4
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,9.7
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,New Brunswick,10
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,New Brunswick,13.4
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,New Brunswick,2.7
Sexual Orientation,1008_c Bisexual,Age group,55 years or more,New Brunswick,11.1
Sexual Orientation,1008_c Bisexual,Age group,Less than 25 years,Newfoundland,19.2
Sexual Orientation,1008_c Bisexual,Age group,25 to 39 years,Newfoundland,6.5
Sexual Orientation,1008_c Bisexual,Age group,40 to 54 years,Newfoundland,6.7
Sexual Orientation,1008_c Bisexual,Age group,55 years or more,Newfoundland,9.1
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Whitehorse, YK",12
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Central and Northern Vancouver Island, BC",18.3
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"Central and Northern Vancouver Island, BC",1.7
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Prince Albert, SK",11
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"Prince Albert, SK",1.1
Sexual Orientation,1008_c Bisexual,Gender lived,TMAS,"Prince Albert, SK",100
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Regina, SK",9
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"Regina, SK",2.5
Sexual Orientation,1008_c Bisexual,Gender lived,TFEM,"Regina, SK",33.3
Sexual Orientation,1008_c Bisexual,Gender lived,TMAS,"Regina, SK",66.7
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Winnipeg, MN",20.3
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"Winnipeg, MN",9.5
Sexual Orientation,1008_c Bisexual,Gender lived,TMAS,"Winnipeg, MN",60
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Thunder Bay, ON",13.4
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"Thunder Bay, ON",1.7
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"London, ON",9.5
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"London, ON",5.6
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Hamilton, ON",19.6
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"Hamilton, ON",3.8
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",22.1
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",7.1
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Montréal and the urban sites in the region of Montérégie, QC",15.6
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",7.3
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,"Québec City, QC",25
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,"Québec City, QC",3.7
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,Semi-urban sites in the province of Quebec,36.4
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,Semi-urban sites in the province of Quebec,4.5
Sexual Orientation,1008_c Bisexual,Gender lived,TFEM,Semi-urban sites in the province of Quebec,100
Sexual Orientation,1008_c Bisexual,Gender lived,CisF,New Brunswick,18.6
Sexual Orientation,1008_c Bisexual,Gender lived,CisM,New Brunswick,2.4
Sexual Orientation,1008_c Bisexual,Gender lived,TFEM,New Brunswick,50
Sexual Orientation,1008a Heterosexual or straight,None,None,Canada,86.4
Sexual Orientation,1008a Heterosexual or straight,Age group,Less than 25 years,Canada,77.6
Sexual Orientation,1008a Heterosexual or straight,Age group,25 to 39 years,Canada,83.5
Sexual Orientation,1008a Heterosexual or straight,Age group,40 to 54 years,Canada,90.1
Sexual Orientation,1008a Heterosexual or straight,Age group,55 years or more,Canada,90.9
Sexual Orientation,1008a Heterosexual or straight,Gender lived,CisF,Canada,78.3
Sexual Orientation,1008a Heterosexual or straight,Gender lived,CisM,Canada,92.3
Sexual Orientation,1008a Heterosexual or straight,Gender lived,TFEM,Canada,25
Sexual Orientation,1008a Heterosexual or straight,Gender lived,TMAS,Canada,5.9
Sexual Orientation,1008a Heterosexual or straight,None,None,"Whitehorse, YK",83.7
Sexual Orientation,1008a Heterosexual or straight,None,None,"Central and Northern Vancouver Island, BC",89.4
